macroarea	concept_id	token_idx	concept_name	token	language_id	concept_id_train	none	onehot	mi-onehot	unc-onehot	macroarea_count	p_value	n_permutations	n_instances
Africa	39	29.0	eye	h	2919.93278943279	39.0	6.067331619169541	5.9775665451834845	0.08976507398605557	0.012536638829763398	4	0.00245	100000	161
Africa	39	30.0	eye	i	2365.654727136833	39.0	3.033757917104053	2.92640323130222	0.10735468580183373	0.03619525828625604	4	0.0	100000	2286
Africa	39	31.0	eye	j	3195.353644314869	39.0	7.806933802997638	7.792110174668426	0.014823628329211287	0.0018209708293928518	4	0.0	100000	142
Africa	39	32.0	eye	k	2308.5799466624653	39.0	4.030062065244855	4.09160258817227	-0.06154052292741547	-0.019801272612462895	4	1.0	100000	302
Africa	39	33.0	eye	l	2501.009515196839	39.0	4.888248316378065	4.978405691485487	-0.09015737510742206	-0.019959988253394307	4	1.0	100000	438
Africa	39	34.0	eye	m	2883.1098226808253	39.0	4.110855928003829	4.126208714770902	-0.015352786767073114	-0.003402920641184956	4	0.00085	100000	329
Africa	39	35.0	eye	n	2202.081992180085	39.0	3.7448872356351046	3.6583880143108995	0.08649922132420536	0.02188904251862162	4	0.0	100000	646
Africa	39	36.0	eye	o	2095.3449567846887	39.0	3.5348998069344217	3.521886592346304	0.013013214588118632	0.0017905310410746744	4	0.0	100000	1202
Africa	39	37.0	eye	p	1539.5373015873015	39.0	5.2910082315011	5.343366701388486	-0.052358469887385274	-0.011019260113384801	4	1.0	100000	71
Africa	39	38.0	eye	q	4099.1	39.0	7.547806739807129	7.537109136581421	0.01069760322570805	0.001188095610683451	4	0.90773	100000	6
Africa	39	39.0	eye	r	3578.5137590982204	39.0	4.303319993988501	4.350440473125364	-0.04712047913686153	-0.012958558261049153	4	0.99999	100000	415
Africa	39	40.0	eye	s	3093.927549194991	39.0	5.375235055150896	5.3952339802865925	-0.01999892513569584	-0.0032353635652183697	4	0.0	100000	915
Africa	39	41.0	eye	t	3131.0112839506173	39.0	4.910452441933714	4.838287996056639	0.07216444587707517	0.01236184845385037	4	0.20031	100000	279
Africa	39	42.0	eye	u	1715.0320779437745	39.0	4.038705106672667	3.9007577878473745	0.13794731882529251	0.037583438452134146	4	0.0	100000	532
Africa	39	43.0	eye	v	4209.5	39.0	7.5535304092225575	7.514495929082234	0.03903448014032273	0.004926719792507321	4	0.01235	100000	16
Africa	39	44.0	eye	w	2116.7570370370368	39.0	5.342016499130815	5.469099802335103	-0.12708330320428918	-0.028032049634632364	4	1.0	100000	119
Africa	39	45.0	eye	x	2970.047619047619	39.0	7.195027831622532	7.229112300418672	-0.03408446879613965	-0.005579815857758733	4	0.99229	100000	43
Africa	39	46.0	eye	y	2595.164994610285	39.0	5.606176904393692	5.548390678863287	0.057786225530405085	0.009674949939923976	4	0.0	100000	415
