	concept_id	concept_name	language_id	length	none	onehot	mi-onehot	unc-onehot	p_value	n_permutations	alphas	significant-0.01	significant-0.05	significant-0.10
23	23	seed	4144.626585189405	5.889323884659512	3.886771437307108	3.892655856583617	-0.005884421049917	-0.0026449885598003	0.81086	100000	0.01, 0.05, 0.1	False	False	False
28	28	flesh	4516.5917559883255	5.584822294872321	3.859431263515704	3.8657251640724897	-0.0062939068905319	-0.0030326459498128	0.81637	100000	0.01, 0.05, 0.1	False	False	False
48	48	belly	4563.510768391949	5.554754637201589	3.87496024613603	3.8845710833978258	-0.0096108414517889	-0.0033784231511383	0.87719	100000	0.01, 0.05, 0.1	False	False	False
32	32	egg	4462.160134256554	5.838588692685824	3.976842072423288	3.982110852315543	-0.0052687772363778	-0.002303293275218	0.87961	100000	0.01, 0.05, 0.1	False	False	False
6	6	what	4058.4577964138102	5.164365316746746	3.751278688943414	3.7591474277787658	-0.0078687438602555	-0.0024962872103079	0.90789	100000	0.01, 0.05, 0.1	False	False	False
39	39	eye	4146.925977941202	5.165970773052494	3.818291461671054	3.823596886052772	-0.0053054263647414	-0.0017425441799261	0.9243	100000	0.01, 0.05, 0.1	False	False	False
78	78	earth	4368.058987805384	5.555525945240785	3.839198365867399	3.848362209112603	-0.0091638421050236	-0.0031572672504937	0.92896	100000	0.01, 0.05, 0.1	False	False	False
16	16	man	4511.16365535248	6.135907856209099	3.873452967210886	3.881051350936556	-0.007598382714571	-0.0030720092014382	0.93031	100000	0.01, 0.05, 0.1	False	False	False
20	20	dog	4114.883931706663	5.299078164101012	3.783577717868893	3.7888770875606967	-0.0052993776522207	-0.0018867845594492	0.94729	100000	0.01, 0.05, 0.1	False	False	False
42	42	tooth	4124.064123997103	5.3401046509302015	3.891605722256844	3.897290422901878	-0.0056846952263551	-0.0019963622422505	0.94856	100000	0.01, 0.05, 0.1	False	False	False
59	59	sleep	4353.19692966941	6.054913427755379	4.022617033894506	4.037929789535856	-0.0153127560594429	-0.0060054565369	0.99155	100000	0.01, 0.05, 0.1	False	False	False
21	21	louse	4051.440589235413	5.448983279937636	3.7918114735404487	3.801778315281543	-0.0099668418839465	-0.0026852320751317	0.9916	100000	0.01, 0.05, 0.1	False	False	False
41	41	mouth	4560.258029032614	5.240801861454475	3.815454119765039	3.82834095848477	-0.0128868433477366	-0.0041299530392222	0.99228	100000	0.01, 0.05, 0.1	False	False	False
47	47	hand	4105.28014724286	5.368499530079794	3.81653059385116	3.825141318115162	-0.0086107249884764	-0.0023715843331945	0.99466	100000	0.01, 0.05, 0.1	False	False	False
71	71	sun	4099.626537355361	5.535332907503589	3.855305831755704	3.866290108863579	-0.0109842789058169	-0.0034056774282218	0.99897	100000	0.01, 0.05, 0.1	False	False	False
57	57	hear	3927.106530065104	5.774080884184429	3.913464344636634	3.9265579528770953	-0.0130936061008946	-0.0051418713605815	0.99966	100000	0.01, 0.05, 0.1	False	False	False
84	84	path	4044.69883246754	5.585065255566335	3.853752508864281	3.8682291264500672	-0.0144766127480138	-0.004471650651865	0.99998	100000	0.01, 0.05, 0.1	False	False	False
29	29	blood	4123.151729262291	5.403292065857271	3.9132593806320166	3.927487742176517	-0.0142283662809654	-0.0041618385300414	0.99999	100000	0.01, 0.05, 0.1	False	False	False
11	11	two	4116.095858977682	5.706203525975632	3.841136089318268	3.8632003418594607	-0.0220642558140024	-0.0066790600494518	1.0	100000	0.01, 0.05, 0.1	False	False	False
17	17	person	4033.209910143778	5.641982331555824	3.828951802921173	3.8473617346260793	-0.0184099335838655	-0.0057220836252981	1.0	100000	0.01, 0.05, 0.1	False	False	False
10	10	one	4084.172257785777	5.719708099845725	3.840961166966156	3.8627379116861302	-0.0217767433008535	-0.0063697576094452	1.0	100000	0.01, 0.05, 0.1	False	False	False
