,ID,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Continent,Family
1290,B86_DZING_BISEY,Africa,-4.33,19.5,NA,diz,NA,Atlantic-Congo
1291,B87_MBUUN_LABAEMPI,Africa,-5.17,19.33,NA,zmp,NA,Atlantic-Congo
1292,B87_MBUUN_MWILANBONG,Africa,-5.17,19.33,NA,zmp,NA,Atlantic-Congo
1293,B871_MPIIN_2,Africa,-5.17,19.33,NA,zmp,NA,Atlantic-Congo
1294,BABA,Africa,6.12,10.52,NA,bbw,NA,Atlantic-Congo
1295,BABA_2,Africa,6.14,10.52,NA,bbw,NA,Atlantic-Congo
1296,BABANGO,Africa,1.79,23.59,NA,bbm,NA,Atlantic-Congo
1297,BABANKI,Africa,6.08,10.32,NA,bbk,NA,Atlantic-Congo
1298,BABANKI_2,Africa,6.11,10.31,NA,bbk,NA,Atlantic-Congo
1299,BABOLE_DZEKE,Africa,1.08,17.25,NA,bvx,NA,Atlantic-Congo
1300,BABOLE_IMPFONDO,Africa,1.08,17.25,NA,bvx,NA,Atlantic-Congo
1301,BABONG,Africa,5.3,9.5,NA,bqz,NA,Atlantic-Congo
1302,BABUNGO,Africa,6.12,10.42,NA,bav,NA,Atlantic-Congo
1303,BADA,Africa,9.6,9.94,NA,bau,NA,Atlantic-Congo
1304,BAFANJI,Africa,5.85,10.45,NA,bfj,NA,Atlantic-Congo
1305,BAFAW,Africa,4.7,9.47,NA,bwt,NA,Atlantic-Congo
1306,BAFAW_BALONG,Africa,4.55,9.6,NA,bwt,NA,Atlantic-Congo
1307,BAFIA,Africa,4.73,11.13,NA,ksf,NA,Atlantic-Congo
1308,BAFIA_ROPE,Africa,5,11.17,NA,ksf,NA,Atlantic-Congo
1309,BAFUT,Africa,6.25,9.92,NA,bfd,NA,Atlantic-Congo
1310,BAKAKA,Africa,4.8,9.88,NA,bqz,NA,Atlantic-Congo
1311,BAKOKO,Africa,3.5,10,NA,bkh,NA,Atlantic-Congo
1312,BAKOLE,Africa,4.44,8.97,NA,kme,NA,Atlantic-Congo
1313,BAKOSSI,Africa,4.8,9.62,NA,bss,NA,Atlantic-Congo
1314,BAKUERI,Africa,4.25,9.25,NA,bri,NA,Atlantic-Congo
1315,BAKUNDU_BALUE,Africa,4.81,9.1,NA,bdu,NA,Atlantic-Congo
1316,BALEP,Africa,6.08,8.67,NA,nbb,NA,Atlantic-Congo
1317,BALEP_2,Africa,6.11,8.66,NA,nbb,NA,Atlantic-Congo
1318,BALO,Africa,6.13,9.69,NA,bqo,NA,Atlantic-Congo
1319,BALOI,Africa,0.95,18.2,NA,biz,NA,Atlantic-Congo
1320,BALONDO,Africa,4.83,9.98,NA,bqz,NA,Atlantic-Congo
1321,BAMBALANG,Africa,5.86,10.54,NA,bmo,NA,Atlantic-Congo
1322,BAMBILI,Africa,6.12,10.2,NA,baw,NA,Atlantic-Congo
1323,BAMBOMBA_EPENA,Africa,1.67,17.5,NA,zmx,NA,Atlantic-Congo
1324,BAMENYAM,Africa,5.75,10.33,NA,bce,NA,Atlantic-Congo
1325,BAMENYAM_2,Africa,5.81,10.34,NA,bce,NA,Atlantic-Congo
1326,BAMILEKE,Africa,5.42,10.08,NA,ybb,NA,Atlantic-Congo
1327,BAMUKUMBIT,Africa,5.87,10.35,NA,bqt,NA,Atlantic-Congo
1328,BAMUN,Africa,5.65,10.75,NA,bax,NA,Atlantic-Congo
1329,BAMWE,Africa,2.17,19.16,NA,bmg,NA,Atlantic-Congo
1330,BAMWE_2,Africa,2.35,19.25,NA,bmg,NA,Atlantic-Congo
1331,BANEKA,Africa,4.9,9.93,NA,bqz,NA,Atlantic-Congo
1332,BANGALA,Africa,2.87,27.67,NA,bxg,NA,Atlantic-Congo
1333,BANGI,Africa,0.05,17.95,NA,bni,NA,Atlantic-Congo
1334,BANGOLAN,Africa,6.01,10.67,NA,bgj,NA,Atlantic-Congo
1335,BANGOLAN_2,Africa,6.03,10.66,NA,bgj,NA,Atlantic-Congo
1336,BANGUBANGU,Africa,-6,28,NA,bnx,NA,Atlantic-Congo
1337,BANGUBANGU_KABAMBARE,Africa,-6,28,NA,bnx,NA,Atlantic-Congo
1338,BANKALA,Africa,9.5,10.5,NA,jjr,NA,Atlantic-Congo
1339,BANKON,Africa,4.42,9.58,NA,abb,NA,Atlantic-Congo
1340,BAROMBI,Africa,4.65,9.25,NA,bbi,NA,Atlantic-Congo
1341,BAS_KENYANG,Africa,5.67,9.5,NA,ken,NA,Atlantic-Congo
1342,BASAA,Africa,3.92,10.5,NA,bas,NA,Atlantic-Congo
1343,BASAA_2,Africa,5,10.2,NA,bas,NA,Atlantic-Congo
1344,BATANGA,Africa,3,10,NA,bnm,NA,Atlantic-Congo
